whois_id,character_id,character_name,slug,descriptor,status,text_path,html_path,has_raw_text,has_raw_html,has_raw_decho,parse_confidence,notes
whois_ike_1780911892,char_ike,Ike,ike,Hobbit,Retired,data/evidence/whois/text/ike.txt,data/evidence/whois/html/ike.html,yes,no,no,medium,"query_name=Ike | display_name=Ike Harfoot | epithet_or_title=Harfoot | Last login 13 years, 2 months, and 13 days ago."
whois_illyas_1780911914,char_illyas,Illyas,illyas,Eriadorian Priest,,data/evidence/whois/text/illyas.txt,data/evidence/whois/html/illyas.html,yes,no,no,medium,"query_name=Illyas | display_name=Illyas, Battlepriest of Rhun | epithet_or_title=, Battlepriest of Rhun | Last login 4 months and 5 days ago from *.au."
whois_ilmarin_1780911925,char_ilmarin,Ilmarin,ilmarin,Elf,Retired,data/evidence/whois/text/ilmarin.txt,data/evidence/whois/html/ilmarin.html,yes,no,no,medium,"query_name=Ilmarin | display_name=Ilmarin, tracker of ancient paths | epithet_or_title=, tracker of ancient paths | Last login 19 years, 2 months, and 22 days ago."
whois_imlach_1780911931,char_imlach,Imlach,imlach,Half-elven Champion,Retired,data/evidence/whois/text/imlach.txt,data/evidence/whois/html/imlach.html,yes,no,no,medium,"query_name=Imlach | display_name=Imlach Teltasarë | epithet_or_title=Teltasarë | Last login 3 years, 6 months, and 2 days ago from [numerical address]."
whois_imrazôr_1780911948,,Imrazôr,imrazor,Black Númenórean,Retired,data/evidence/whois/text/imrazor.txt,data/evidence/whois/html/imrazor.html,yes,no,no,medium,query_name=Imrazor | display_name=Imrazôr il Depressivo | epithet_or_title=il Depressivo
whois_indra_1780911954,char_indra,Indra,indra,Rohirric Bodyguard,Retired,data/evidence/whois/text/indra.txt,data/evidence/whois/html/indra.html,yes,no,no,medium,query_name=Indra | display_name=Indra the Weaponsmistress of Rohan | epithet_or_title=the Weaponsmistress of Rohan | Last login 17 years and 30 days ago from *.se.
whois_ingold_1780911959,char_ingold,Ingold,ingold,Man,Retired,data/evidence/whois/text/ingold.txt,data/evidence/whois/html/ingold.html,yes,no,no,medium,query_name=Ingold | display_name=Ingold the Eriadorian Patrol Leader | epithet_or_title=the Eriadorian Patrol Leader
whois_ingwë_1780911965,,Ingwë,ingwe,Noldorin Battlemaster,Retired,data/evidence/whois/text/ingwe.txt,data/evidence/whois/html/ingwe.html,yes,no,no,medium,query_name=Ingwe | display_name=Ingwë King of the Vanyar | epithet_or_title=King of the Vanyar | Last login 23 years and 30 days ago from *.com.
whois_innuendo_1780911970,char_innuendo,Innuendo,innuendo,Half-elven Hero,Retired,data/evidence/whois/text/innuendo.txt,data/evidence/whois/html/innuendo.html,yes,no,no,medium,"query_name=Innuendo | display_name=Innuendo Altharis, Noble of the House of Garador | epithet_or_title=Altharis, Noble of the House of Garador | Last login 2 years, 6 months, and 15 days ago."
whois_insane_1780911976,char_insane,Insane,insane,Hill Troll Wrecker,Retired,data/evidence/whois/text/insane.txt,data/evidence/whois/html/insane.html,yes,no,no,medium,query_name=Insane | display_name=Insane in the Brain | epithet_or_title=in the Brain
whois_inziladûn_1780911981,,Inziladûn,inziladun,Black Númenórean,Retired,data/evidence/whois/text/inziladun.txt,data/evidence/whois/html/inziladun.html,yes,no,no,medium,query_name=Inziladun | display_name=Inziladûn Bsvrjrn | epithet_or_title=Bsvrjrn
whois_iolo_1780911987,char_iolo,Iolo,iolo,Silvan Ranger,,data/evidence/whois/text/iolo.txt,data/evidence/whois/html/iolo.html,yes,no,no,medium,"query_name=Iolo | display_name=Iolo of Mirkwood, Major o'Army of Thranduil | epithet_or_title=of Mirkwood, Major o'Army of Thranduil | Last login 8 months and 2 days ago from *.net."
whois_ior_1780911993,char_ior,Ior,ior,Hill Troll Brute,Retired,data/evidence/whois/text/ior.txt,data/evidence/whois/html/ior.html,yes,no,no,medium,"query_name=Ior | display_name=Ior ""Pathetic. That's what it is. Pathetic"" | epithet_or_title=""Pathetic. That's what it is. Pathetic"""
whois_iorlas_1780911998,char_iorlas,Iorlas,iorlas,Rohirric Adventurer,Retired,data/evidence/whois/text/iorlas.txt,data/evidence/whois/html/iorlas.html,yes,no,no,medium,"query_name=Iorlas | display_name=Iorlas of Riddermark | epithet_or_title=of Riddermark | Last login 9 years, 8 months, and 5 days ago from *.com."
whois_iranon_1780912004,char_iranon,Iranon,iranon,Black Númenórean,Retired,data/evidence/whois/text/iranon.txt,data/evidence/whois/html/iranon.html,yes,no,no,medium,query_name=Iranon | display_name=Iranon
whois_irv_1780912015,char_irv,Irv,irv,Tarkhnarb Assassin,Retired,data/evidence/whois/text/irv.txt,data/evidence/whois/html/irv.html,yes,no,no,medium,query_name=Irv | display_name=Irv
whois_ishant_1780912021,char_ishant,Ishant,ishant,Elf,Retired,data/evidence/whois/text/ishant.txt,data/evidence/whois/html/ishant.html,yes,no,no,medium,"query_name=Ishant | display_name=Ishant in articulo mortis | epithet_or_title=in articulo mortis | Last login 17 years, 5 months, and 24 days ago."
whois_isolde_1780912026,char_isolde,Isolde,isolde,Eriadorian Heroine,,data/evidence/whois/text/isolde.txt,data/evidence/whois/html/isolde.html,yes,no,no,medium,query_name=Isolde | display_name=Isolde | Last login 10 days and 12 hours ago from [numerical address].
whois_ithilagos_1780912037,char_ithilagos,Ithilagos,ithilagos,Sindarin Battlemaster,Retired,data/evidence/whois/text/ithilagos.txt,data/evidence/whois/html/ithilagos.html,yes,no,no,medium,"query_name=Ithilagos | display_name=Ithilagos Helegdol, Agent Obliterateur | epithet_or_title=Helegdol, Agent Obliterateur | Last login 23 years, 6 months, and 18 days ago from *.dk."
whois_itil_1780912048,char_itil,Itil,itil,Half-Elf,Retired,data/evidence/whois/text/itil.txt,data/evidence/whois/html/itil.html,yes,no,no,medium,"query_name=Itil | display_name=Itil Icy | epithet_or_title=Icy | Last login 18 years, 2 months, and 12 days ago."
