character_id,character_name,page_slug,player_id,player_main_handle,player_known_by,player_link_confidence,player_link_evidence_id,derived_race,derived_subrace,derived_faction,derived_faction_confidence,derived_base_class,derived_who_class_group,derived_class_title,derived_class_confidence,derived_class_skill_notes,derived_class_level_restriction_notes,derived_class_race_restriction_notes,derived_class_alignment_restriction_notes,derived_gender,derived_gender_confidence,derived_immortal_rank,derived_immortal_code,derived_immortal_role,classification_status,has_whois_display,has_colour_whois,whois_display_html_path,whois_display_text_path,whois_capture_id,whois_capture_quality,mention_count,mention_high_confidence_count,mention_matched_known_count,mention_type_summary,mention_preview,has_ascii_art,ascii_art_count,best_ascii_art_score,group_candidate_count,group_candidate_confidence_summary,classification_review_needed,page_review_needed
char_woland,Woland,woland,player_0195,Porien,Porien [Dmitry],medium,evidence_player_group_0195,Man,Black Númenórean,Minions of Sauron,high,,,,,,,,,,,,,,race_only,yes,no,data/evidence/whois_display/html/woland.html,data/evidence/whois_display/text/woland.txt,,,0,0,0,,,no,0,,0,,no,no
char_wong,Wong,wong,player_0064,Saeth,Saeth [Wojtek],medium,evidence_player_group_0064,Elf,Silvan,Free Peoples,medium,General,General,Hero,medium,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/wong.html,data/evidence/whois_display/text/wong.txt,mha:wong:1780917313:b60784db,high,0,0,0,,,no,0,,0,,no,no
char_wow,Wow,wow,player_0004,Wow,Wow,medium,evidence_player_group_0004,Maia,,Immortals,high,,,,,,,,,,,Maia,M,,immortal,yes,yes,data/evidence/whois_display/html/wow.html,data/evidence/whois_display/text/wow.txt,mha:wow:1780917318:0497fb35,high,0,0,0,,,no,0,,0,,no,no
char_wreth,Wreth,wreth,player_0049,Haazheel,Haazheel,medium,evidence_player_group_0049,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_wroom,Wroom,wroom,player_0115,Marillion,Marillion,medium,evidence_player_group_0115,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_wryak,Wryak,wryak,player_0065,Wryak,Wryak [Tapio],medium,evidence_player_group_0065,Maia,,Immortals,high,,,,,,,,,,,Maia,M,,immortal,yes,yes,data/evidence/whois_display/html/wryak.html,data/evidence/whois_display/text/wryak.txt,mha:wryak:1780917335:9a5bbbdd,high,0,0,0,,,no,0,,0,,no,no
char_wryth,Wryth,wryth,player_0065,Wryak,Wryak [Tapio],medium,evidence_player_group_0065,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_wucheria,Wucheria,wucheria,player_0216,Grunge,Grunge,medium,evidence_player_group_0216,Troll,,Minions of Sauron,high,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/wucheria.html,data/evidence/whois_display/text/wucheria.txt,mha:wucheria:1780917346:430b6e8a,high,0,0,0,,,no,0,,0,,no,no
char_wurzl,Wurzl,wurzl,player_0156,Kogan,Kogan,medium,evidence_player_group_0156,Hobbit,,Free Peoples,medium,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/wurzl.html,data/evidence/whois_display/text/wurzl.txt,mha:wurzl:1780917352:cefbc7dd,high,0,0,0,,,no,0,,0,,no,no
char_wyzz,Wyzz,wyzz,player_0001,Rogon,Rogon,medium,evidence_player_group_0001,Elf,Silvan,Free Peoples,medium,Cleric,Cleric,Patriarch,high,,,,,male,high,,,,classified,yes,yes,data/evidence/whois_display/html/wyzz.html,data/evidence/whois_display/text/wyzz.txt,mha:wyzz:1780917358:0e8b255c,high,0,0,0,,,no,0,,0,,no,no
