character_id,character_name,derived_gender,derived_gender_confidence,source_descriptor,derived_race,derived_faction,derived_base_class,derived_class_title,classification_status,classification_notes,review_needed
char_ochra,Ochra,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_octavian,Octavian,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_odamees,Odamees,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_odium,Odium,unknown,,Black Númenórean Wanderer,Man,Minions of Sauron,,Wanderer,generic_title_no_class,race_term=Black Númenórean | class_title=Wanderer | base_class_unknown,no
char_olevipoeg,Olevipoeg,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_olorion,Olorion,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_olos,Olos,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_oregon,Oregon,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_orf,Orf,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_osilin,Osilin,unknown,,Black Númenórean Envoy,Man,Minions of Sauron,,Envoy,generic_title_no_class,race_term=Black Númenórean | class_title=Envoy | base_class_unknown,no
char_ostravar,Ostravar,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_ostu,Ostu,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_oualid,Oualid,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_ozgun,Ozgun,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_ozon,Ozon,unknown,,Black Númenórean Envoy,Man,Minions of Sauron,,Envoy,generic_title_no_class,race_term=Black Númenórean | class_title=Envoy | base_class_unknown,no
char_padla,Padla,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_pahan,Pahan,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_paque,Paque,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_perun,Perun,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_pestilence,Pestilence,unknown,,Tarkhnarb Snaga,Orc,Minions of Sauron,,Snaga,generic_title_no_class,race_term=Tarkhnarb | class_title=Snaga | base_class_unknown,no
char_petrus,Petrus,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_pinhead,Pinhead,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_plancy,Plancy,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_plato,Plato,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_pontiac,Pontiac,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_pontu,Pontu,unknown,,,,,,,no_whois_classification,No classification row found,yes
