character_id,character_name,player_main_handle,player_known_by,derived_race,derived_faction,derived_base_class,derived_gender,classification_status,has_whois_display,has_colour_whois,mention_count,group_candidate_count,classification_review_needed,page_review_needed,page_slug
char_dragoth,Dragoth,Decoy,Decoy [Peter],,,,,no_whois_classification,no,no,0,0,yes,yes,dragoth
char_dranj,Dranj,Boroda,Boroda,,,,,no_whois_classification,no,no,0,0,yes,yes,dranj
char_drayl,Drayl,Wryak,Wryak [Tapio],,,,,no_whois_classification,no,no,0,0,yes,yes,drayl
char_drazgan,Drazgan,Buggar,Buggar [Adam],,,,,no_whois_classification,no,no,0,0,yes,yes,drazgan
char_dreth,Dreth,Faint,Faint,,,,,no_whois_classification,no,no,0,0,yes,yes,dreth
char_dugmok,Dugmok,Axel,Axel [Axel],,,,,no_whois_classification,no,no,0,0,yes,yes,dugmok
char_dunlop,Dunlop,Bigger,Bigger [Jakob],,,,,no_whois_classification,no,no,0,0,yes,yes,dunlop
char_durandir,Durandir,Buggar,Buggar [Adam],,,,,no_whois_classification,no,no,0,0,yes,yes,durandir
char_durlak,Durlak,Amandil,Amandil,,,,,no_whois_classification,no,no,0,0,yes,yes,durlak
char_duvel,Duvel,Auriane,Auriane [Bob],,,,,no_whois_classification,no,no,0,0,yes,yes,duvel
char_eale,Eale,Nardhal,Nardhal,,,,,no_whois_classification,no,no,0,0,yes,yes,eale
char_earand,Earand,Kenzu,Kenzu,,,,,no_whois_classification,no,no,0,0,yes,yes,earand
char_earnur,Earnur,Feanor,Feanor,,,,,no_whois_classification,no,no,0,0,yes,yes,earnur
char_eawian,Eawian,Nardhal,Nardhal,,,,,no_whois_classification,no,no,0,0,yes,yes,eawian
char_eggrat,Eggrat,Alantir,Alantir,,,,,no_whois_classification,no,no,0,0,yes,yes,eggrat
char_eggraz,Eggraz,Simba,Simba,,,,,no_whois_classification,no,no,0,0,yes,yes,eggraz
char_eher,Eher,Aris,Aris,,,,,no_whois_classification,no,no,0,0,yes,yes,eher
char_ehhe,Ehhe,Deor,Deor,,,,,no_whois_classification,no,no,0,0,yes,yes,ehhe
