character_id,character_name,player_id,player_main_handle,player_known_by,player_real_name,player_link_type,player_link_status,player_link_confidence,player_link_evidence_id,player_link_notes,immortal_list_status,immortal_list_category,is_maiar_muddler,honorary_immortal,immortal_list_source_id,immortal_list_source_name,immortal_list_source_date_context,immortal_list_evidence_id,immortal_list_review_status,immortal_list_notes,source_whois_id,source_descriptor,derived_race,derived_subrace,derived_faction,derived_faction_confidence,derived_base_class,derived_who_class_group,derived_class_title,derived_class_confidence,derived_class_skill_notes,derived_class_level_restriction_notes,derived_class_race_restriction_notes,derived_class_alignment_restriction_notes,derived_gender,derived_gender_confidence,derived_immortal_rank,derived_immortal_code,derived_immortal_role,classification_status,classification_notes,candidate_whois_rows,review_needed
char_amelia,Amelia,player_0139,Naga,Naga,,listed_same_player,accepted,medium,evidence_player_group_0139,,,,,,,,,,,,whois_amelia_1780899325,Noldorin Mistress of Healing,Elf,Noldorin,Free Peoples,medium,Cleric,Cleric,Mistress of Healing,high,,,,,female,high,,,,classified,race_term=Noldorin | class_title=Mistress of Healing | who_class_group=Cleric | class_confidence=high,1,no
char_anaconda,Anaconda,player_0103,Edvard,Edvard [Aron],Aron,listed_same_player,accepted,medium,evidence_player_group_0103,,,,,,,,,,,,whois_anaconda_1780899331,Orc,Orc,,Minions of Sauron,high,,,,,,,,,,,,,,race_only,race_term=Orc | base_class_unknown,1,no
char_anardil,Anardil,player_0188,Aiele,Aiele [Joel],Joel,listed_same_player,accepted,medium,evidence_player_group_0188,,,,,,,,,,,,whois_anardil_1780899336,Dúnadan Warden,Man,Dúnedain,Free Peoples,medium,Warrior,Warrior,Warden,high,75% Bash,,,,,,,,,classified,race_term=Dúnadan | class_title=Warden | who_class_group=Warrior | class_confidence=high | skill_notes=75% Bash,1,no
char_ancalimon,Ancalimon,player_0014,Gothmog,Gothmog [Petter],Petter,listed_same_player,accepted,medium,evidence_player_group_0014,,,,,,,,,,,,whois_ancalimon_1780899342,Man,Man,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Man | base_class_unknown,1,no
char_ancra,Ancra,player_0181,Ancra,Ancra [Harry],Harry,listed_same_player,accepted,medium,evidence_player_group_0181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
char_andarion,Andarion,player_0113,Nardhal,Nardhal,,listed_same_player,accepted,medium,evidence_player_group_0113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
char_andore,Andore,player_0130,Hate,Hate,,listed_same_player,accepted,medium,evidence_player_group_0130,,,,,,,,,,,,whois_andore_1780899358,Cave Troll Warrior,Troll,Cave Troll,Minions of Sauron,high,Warrior,Warrior,Warrior,medium,,,,,,,,,,classified,race_term=Cave Troll | class_title=Warrior | who_class_group=Warrior | class_confidence=medium,1,no
char_andris,Andris,player_0012,Axel,Axel [Axel],Axel,listed_same_player,accepted,medium,evidence_player_group_0012,,,,,,,,,,,,whois_andris_1780899364,Dwarven Battlemaster,Dwarf,,Free Peoples,medium,Warrior,Warrior,Battlemaster,high,,,,,,,,,,classified,race_term=Dwarven | class_title=Battlemaster | who_class_group=Warrior | class_confidence=high,1,no
char_anezka,Anezka,player_0180,Evandaar,Evandaar [Daniel],Daniel,listed_same_player,accepted,medium,evidence_player_group_0180,,,,,,,,,,,,whois_anézka_1780899369,Black Númenórean,Man,Black Númenórean,Minions of Sauron,high,,,,,,,,,,,,,,race_only,race_term=Black Númenórean | base_class_unknown,1,no
char_angrenfea,Angrenfea,player_0174,Angrenfea,Angrenfea [Toivo],Toivo,listed_same_player,accepted,medium,evidence_player_group_0174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
char_anneilbalkassoon,AnneilBalkassoon,player_0109,Nighthawk,Nighthawk,,listed_same_player,accepted,medium,evidence_player_group_0109,,,,,,,,,,,,whois_anneilbalkassoon_1780899380,Troll,Troll,,Minions of Sauron,high,,,,,,,,,,,,,,race_only,race_term=Troll | base_class_unknown,1,no
char_anner,Anner,player_0054,Deor,Deor,,listed_same_player,accepted,medium,evidence_player_group_0054,,,,,,,,,,,,whois_anner_1780899386,Orc,Orc,,Minions of Sauron,high,,,,,,,,,,,,,,race_only,race_term=Orc | base_class_unknown,1,no
char_annesh,Annesh,player_0034,Nazgum,Nazgum,,listed_same_player,accepted,medium,evidence_player_group_0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
char_anolad,Anolad,player_0034,Nazgum,Nazgum,,listed_same_player,accepted,medium,evidence_player_group_0034,,current,Maia,no,no,2026_06_16_current_immortals,MUME current immortal list,List current as of 2026-06-16,immortal_2026_06_16_current_immortals_anolad_56_listed_current_immortal,candidate,Copied by Lewis. (+m) means the immortal is also a Maiar Muddler / muddle code contributor.,whois_anólad_1780899397,discord bot is a Maia,Maia,,Immortals,high,Cartographer,Cartographer,Cartographer,high,,,,,,,Maia,M,Cartographer,immortal,immortal_term=Maia | race_term=Maia | unmatched=discord bot is a,1,no
char_anselmo,Anselmo,player_0038,Sabadon,Sabadon,,listed_same_player,accepted,medium,evidence_player_group_0038,,,,,,,,,,,,whois_anselmo_1780899402,Troll,Troll,,Minions of Sauron,high,,,,,,,,,,,,,,race_only,race_term=Troll | base_class_unknown,1,no
char_antar,Antar,player_0057,Kenzu,Kenzu,,listed_same_player,accepted,medium,evidence_player_group_0057,,,,,,,,,,,,whois_antar_1780899408,Beorning Hero,Man,Beorning,Free Peoples,medium,General,General,Hero,medium,,,,,,,,,,classified,race_term=Beorning | class_title=Hero | who_class_group=General | class_confidence=medium,1,no
char_anton,Anton,player_0208,Anton,Anton [Anton],Anton,listed_same_player,accepted,medium,evidence_player_group_0208,,,,,,,,,,,,whois_anton_1780899413,Silvan Wizard,Elf,Silvan,Free Peoples,medium,Magic-user,Magic-user,Wizard,high,,,,,,,,,,classified,race_term=Silvan | class_title=Wizard | who_class_group=Magic-user | class_confidence=high,1,no
char_aragil,Aragil,player_0034,Nazgum,Nazgum,,listed_same_player,accepted,medium,evidence_player_group_0034,,,,,,,,,,,,whois_aragil_1780899419,Half-Elf,Half-Elf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Half-Elf | base_class_unknown,1,no
char_araglas,Araglas,player_0008,Fingeror,Fingeror [Jocke],Jocke,listed_same_player,accepted,medium,evidence_player_group_0008,,,,,,,,,,,,whois_araglas_1780899424,Man,Man,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Man | base_class_unknown,1,no
char_arakon,Arakon,player_0133,Jerpa,Jerpa,,listed_same_player,accepted,medium,evidence_player_group_0133,,,,,,,,,,,,whois_arakon_1780899430,Beorning Hero,Man,Beorning,Free Peoples,medium,General,General,Hero,medium,,,,,,,,,,classified,race_term=Beorning | class_title=Hero | who_class_group=General | class_confidence=medium,1,no
char_aram,Aram,player_0111,Aram,Aram,,listed_same_player,accepted,medium,evidence_player_group_0111,,,,,,,,,,,,whois_aram_1780899435,Eriadorian Hero,Man,Eriadorian,Free Peoples,medium,General,General,Hero,medium,,,,,,,,,,classified,race_term=Eriadorian | class_title=Hero | who_class_group=General | class_confidence=medium,1,no
char_aranka,Aranka,player_0020,Bubla,Bubla,,listed_same_player,accepted,medium,evidence_player_group_0020,,,,,,,,,,,,whois_aranka_1780899441,Dwarf,Dwarf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Dwarf | base_class_unknown,1,no
