character_key,first_source_id,immortal_statuses,immortal_categories,is_maiar_muddler,honorary_immortal,reason,review_status
Ankamon,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Anne,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Anthrax,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Antti,2026_06_16_current_immortals,current,Valar,no,no,immortal_list_2026_06_16,candidate
Anólad,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Anómyr,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Apalonia,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Apolline,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Aratan,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Arathorn,2026_06_16_retired_immortals,retired,Valar,no,no,immortal_list_2026_06_16,candidate
Araw,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Arcane,2026_06_16_current_immortals,current,Maiar,yes,no,immortal_list_2026_06_16,candidate
Aredhel,2026_06_16_retired_immortals,retired,Valar,no,no,immortal_list_2026_06_16,candidate
Ares,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Arfang,2026_06_16_current_immortals,current,Valar,no,no,immortal_list_2026_06_16,candidate
Ariakas,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Ariana,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Arien,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Aries,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Arina,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Arion,2026_06_16_retired_immortals,retired,Aratar,no,no,immortal_list_2026_06_16,candidate
Aris,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ark,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Arla,2026_06_16_retired_immortals,retired,Valar,no,no,immortal_list_2026_06_16,candidate
Armin,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Arthad,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Atanatar,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Atani,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Atlas,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Aule,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Auriane,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ausir,2026_06_16_retired_immortals,retired,Valar,no,no,immortal_list_2026_06_16,candidate
Avatar,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Avitar,2026_06_16_retired_immortals,retired,Valar,no,no,immortal_list_2026_06_16,candidate
