character_key,first_source_id,immortal_statuses,immortal_categories,is_maiar_muddler,honorary_immortal,reason,review_status
Draught,2026_06_16_retired_immortals,retired,Aratar,no,no,immortal_list_2026_06_16,candidate
Drink,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Drugar,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Drugo,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Dryden,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Dröm,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Durin,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Durmegil,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Dushmoll,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Dáin,2026_06_16_current_immortals,current,Aratar,no,no,immortal_list_2026_06_16,candidate
Déja,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Déor,2026_06_16_retired_immortals,retired,Valar,no,no,immortal_list_2026_06_16,candidate
Dúlin,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Earolon,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Edomir,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Edvard,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Eileya,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Eis,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ekolas,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Elagorn,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Elan,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Elaniel,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Eldahal,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Eldamir,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Elemir,2026_06_16_current_immortals,current,Valar,no,no,immortal_list_2026_06_16,candidate
Elemmakil,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Elerrína,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Elfan,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
