source_id,immortal_status,immortal_category,character_key,display_name,is_maiar_muddler,honorary_immortal,evidence_kind,source_order,review_status,notes
2026_06_16_retired_immortals,retired,Maiar,Grimble,Grimble,no,no,listed_retired_immortal,245,candidate,
2026_06_16_retired_immortals,retired,Maiar,Hanse,Hanse,no,no,listed_retired_immortal,246,candidate,
2026_06_16_retired_immortals,retired,Maiar,Hoho,Hoho,no,no,listed_retired_immortal,247,candidate,
2026_06_16_retired_immortals,retired,Maiar,Hza,Hza,no,no,listed_retired_immortal,248,candidate,
2026_06_16_retired_immortals,retired,Maiar,Iluvator,Iluvator,no,no,listed_retired_immortal,249,candidate,
2026_06_16_retired_immortals,retired,Maiar,Irikan,Irikan,no,no,listed_retired_immortal,250,candidate,
2026_06_16_retired_immortals,retired,Maiar,Jaelle,Jaelle,no,no,listed_retired_immortal,251,candidate,
2026_06_16_retired_immortals,retired,Maiar,Krazy,Krazy,no,no,listed_retired_immortal,252,candidate,
2026_06_16_retired_immortals,retired,Maiar,Kyratai,Kyratai,no,no,listed_retired_immortal,253,candidate,
2026_06_16_retired_immortals,retired,Maiar,Lede,Lede,no,no,listed_retired_immortal,254,candidate,
2026_06_16_retired_immortals,retired,Maiar,Legon,Legon,no,no,listed_retired_immortal,255,candidate,
2026_06_16_retired_immortals,retired,Maiar,Lilja,Lilja,no,no,listed_retired_immortal,256,candidate,
2026_06_16_retired_immortals,retired,Maiar,Luineth,Luineth,no,no,listed_retired_immortal,257,candidate,
2026_06_16_retired_immortals,retired,Maiar,Marcho,Marcho,no,no,listed_retired_immortal,258,candidate,
