link_id,player_id,character_id,character_name,main_handle,link_type,status,confidence,primary_evidence_id,notes
link_01383,player_0166,char_johhaidii,Johhaidii,Bodhran,listed_same_player,accepted,medium,evidence_player_group_0166,
link_01384,player_0166,char_keno,Keno,Bodhran,listed_same_player,accepted,medium,evidence_player_group_0166,
link_01385,player_0166,char_kroom,Kroom,Bodhran,listed_same_player,accepted,medium,evidence_player_group_0166,
link_01386,player_0166,char_minos,Minos,Bodhran,listed_same_player,accepted,medium,evidence_player_group_0166,
link_01387,player_0166,char_monet,Monet,Bodhran,listed_same_player,accepted,medium,evidence_player_group_0166,
link_01388,player_0166,char_osilin,Osilin,Bodhran,listed_same_player,accepted,medium,evidence_player_group_0166,
link_01389,player_0166,char_sabish,Sabish,Bodhran,listed_same_player,accepted,medium,evidence_player_group_0166,
link_01390,player_0167,char_eloin,Eloin,Eloin,listed_same_player,accepted,medium,evidence_player_group_0167,
link_01391,player_0167,char_vaim,Vaim,Eloin,listed_same_player,accepted,medium,evidence_player_group_0167,
link_01392,player_0167,char_lei,Lei,Eloin,listed_same_player,accepted,medium,evidence_player_group_0167,
link_01393,player_0168,char_linar,Linar,Linar,listed_same_player,accepted,medium,evidence_player_group_0168,
link_01394,player_0168,char_waba,Waba,Linar,listed_same_player,accepted,medium,evidence_player_group_0168,
link_01395,player_0168,char_gamram,Gamram,Linar,listed_same_player,accepted,medium,evidence_player_group_0168,
link_01396,player_0168,char_hele,Hele,Linar,listed_same_player,accepted,medium,evidence_player_group_0168,
link_01397,player_0169,char_jadon,Jadon,Jadon,listed_same_player,accepted,medium,evidence_player_group_0169,
link_01398,player_0169,char_kade,Kade,Jadon,listed_same_player,accepted,medium,evidence_player_group_0169,
link_01399,player_0169,char_kaool,Kaool,Jadon,listed_same_player,accepted,medium,evidence_player_group_0169,
link_01400,player_0169,char_khakis,Khakis,Jadon,listed_same_player,accepted,medium,evidence_player_group_0169,
link_01401,player_0169,char_nazkuk,Nazkuk,Jadon,listed_same_player,accepted,medium,evidence_player_group_0169,
link_01402,player_0169,char_odium,Odium,Jadon,listed_same_player,accepted,medium,evidence_player_group_0169,
